recording	participant	arm	stopbands	of_lines	peaks_above_2dB	worst_prom_db	worst_level_db	median_suppression_db	comb_db	correlation	change_rms	fir_rounds	delta_kept	theta_kept	alpha_kept	beta_kept	gamma_kept
sub-0000_task-thermalactive_run-2_eeg	sub-0000	combined	6	143	0	2	-1.75	-9.5500000000000007	-0.14000000000000001	0.99794000000000005	0.024410000000000001	1	1	1	1	0.95820000000000005	0.97550000000000003
sub-0000_task-thermalactive_run-3_eeg	sub-0000	combined	4	151	3	2.79	-1.01	-10.789999999999999	-0.28000000000000003	0.99836999999999998	0.016830000000000001	2	1	1	1	1	0.97550000000000003
sub-0000_task-thermalactive_run-1_eeg	sub-0000	combined	5	149	1	2.1200000000000001	-0.88	-8.8000000000000007	-0.14999999999999999	0.99748999999999999	0.042590000000000003	2	1	1	1	0.97909999999999997	0.97719999999999996
sub-0000_task-thermalactive_run-5_eeg	sub-0000	combined	8	139	1	2.3799999999999999	-1.3700000000000001	-9.7200000000000006	-0.14000000000000001	0.99887999999999999	0.0095999999999999992	0	1	1	1	0.96989999999999998	0.97109999999999996
sub-0000_task-thermalactive_run-4_eeg	sub-0000	combined	6	136	15	20.010000000000002	-0.83999999999999997	-9.1500000000000004	0	0.99839999999999995	0.01366	3	1	1	1	0.9758	0.89559999999999995
sub-0000_task-thermalactive_run-6_eeg	sub-0000	combined	4	148	3	2.1099999999999999	-2.2599999999999998	-9.5600000000000005	-0.27000000000000002	0.99916000000000005	0.0073499999999999998	1	1	1	1	1	0.96799999999999997
sub-0001_task-thermalactive_run-2_eeg	sub-0001	combined	1	137	1	2.6299999999999999	0.10000000000000001	-6.2000000000000002	-0.14999999999999999	0.99082000000000003	0.13514000000000001	0	1	1	1	1	0.99380000000000002
sub-0001_task-thermalactive_run-1_eeg	sub-0001	combined	5	160	3	5.9100000000000001	8.9499999999999993	-7.4299999999999997	-0.40000000000000002	0.97624	0.21653	1	0.89270000000000005	1	1	1	0.91269999999999996
sub-0001_task-thermalactive_run-3_eeg	sub-0001	combined	3	159	3	7.6500000000000004	-1.05	-6.9500000000000002	-0.19	0.97446999999999995	0.22437000000000001	1	1	1	1	1	0.95250000000000001
sub-0001_task-thermalactive_run-4_eeg	sub-0001	combined	5	156	1	2.5600000000000001	-0.56999999999999995	-6.9800000000000004	0	0.99114999999999998	0.13255	1	1	1	1	1	0.96589999999999998
sub-0001_task-thermalactive_run-6_eeg	sub-0001	combined	6	147	5	5.6600000000000001	-0.76000000000000001	-5.8600000000000003	-0.31	0.97997000000000001	0.19688	2	1	1	1	1	0.93540000000000001
