recording	participant	arm	n_subtracted	fir_rounds	n_fir_blocks	peaks_above_2dB	peaks_above_null_p99	null_p99_db	comb_db	unavail_hz_total	unavail_hz_fir_only	correlation	change_rms	delta_kept	delta_kept_fir_only	theta_kept	theta_kept_fir_only	alpha_kept	alpha_kept_fir_only	beta_kept	beta_kept_fir_only	gamma_kept	gamma_kept_fir_only
sub-0000_task-thermalactive_run-5_eeg	sub-0000	notching	0	4	31	19	0	33.73	0.01	24.16	24.16	0.99652	0.00979	1.0	1.0	1.0	1.0	1.0	1.0	0.9699	0.9699	0.731	0.731
sub-0000_task-thermalactive_run-5_eeg	sub-0000	tuned	159	0	8	1	0	5.03	-0.14	17.34	3.19	0.99666	0.0096	1.0	1.0	1.0	1.0	1.0	1.0	0.9229	0.9699	0.8007	0.9711
sub-0000_task-thermalactive_run-5_eeg	sub-0000	derived	109	2	8	24	23	2.6	0.01	24.16	3.79	0.99677	0.00944	1.0	1.0	1.0	1.0	1.0	1.0	0.9379	0.9641	0.7466	0.9568
sub-0000_task-thermalactive_run-5_eeg	sub-0000	derived_w20fit	109	2	6	48	40	2.44	1.19	17.34	5.88	0.99778	0.00783	1.0	1.0	1.0	1.0	1.0	1.0	0.9765	1.0	0.8397	0.9744
sub-0000_task-thermalactive_run-4_eeg	sub-0000	notching	0	3	35	14	0	8.12	0.52	19.19	19.19	0.99592	0.01344	1.0	1.0	1.0	1.0	1.0	1.0	0.9458	0.9458	0.8056	0.8056
sub-0000_task-thermalactive_run-4_eeg	sub-0000	tuned	155	3	5	15	7	8.05	0.0	20.25	6.86	0.99579	0.01366	1.0	1.0	1.0	1.0	1.0	1.0	0.9082	0.9758	0.7454	0.8956
sub-0000_task-thermalactive_run-4_eeg	sub-0000	derived	105	2	9	28	26	2.39	0.19	24.8	6.91	0.99606	0.0132	1.0	1.0	1.0	1.0	1.0	1.0	0.9353	1.0	0.7522	0.9497
sub-0000_task-thermalactive_run-4_eeg	sub-0000	derived_w20fit	105	2	5	48	40	2.42	1.3	16.3	4.46	0.99726	0.01102	1.0	1.0	1.0	1.0	1.0	1.0	0.9523	0.9699	0.8495	0.9898
sub-0000_task-thermalactive_run-6_eeg	sub-0000	notching	0	5	36	11	1	7.02	-0.4	20.3	20.3	0.99713	0.00758	1.0	1.0	1.0	1.0	1.0	1.0	0.9699	0.9699	0.7773	0.7773
sub-0000_task-thermalactive_run-6_eeg	sub-0000	tuned	166	1	6	3	6	1.83	-0.27	17.86	2.92	0.9973	0.00735	1.0	1.0	1.0	1.0	1.0	1.0	0.9441	1.0	0.7958	0.968
