recording	participant	orig_comb_db	n_teeth	n_strong_teeth	frac_strong_teeth	median_tooth_prom_db	p90_tooth_prom_db
sub-0000_task-thermalactive_run-1_eeg	sub-0000	4.536	63	44	0.6984	4.121	9.157
sub-0000_task-thermalactive_run-2_eeg	sub-0000	4.04	63	42	0.6667	4.058	10.111
sub-0000_task-thermalactive_run-3_eeg	sub-0000	4.349	63	47	0.746	3.901	10.769
sub-0000_task-thermalactive_run-4_eeg	sub-0000	4.198	63	46	0.7302	3.582	9.874
sub-0000_task-thermalactive_run-5_eeg	sub-0000	4.116	63	47	0.746	4.227	10.495
sub-0000_task-thermalactive_run-6_eeg	sub-0000	4.363	63	44	0.6984	3.901	10.109
sub-0001_task-thermalactive_run-1_eeg	sub-0001	2.762	63	40	0.6349	2.366	7.382
sub-0001_task-thermalactive_run-2_eeg	sub-0001	2.266	63	40	0.6349	2.058	6.329
sub-0001_task-thermalactive_run-3_eeg	sub-0001	2.173	63	39	0.619	2.206	6.642
sub-0001_task-thermalactive_run-4_eeg	sub-0001	2.917	63	41	0.6508	2.471	7.389
sub-0001_task-thermalactive_run-5_eeg	sub-0001	2.399	63	40	0.6349	2.016	6.698
sub-0001_task-thermalactive_run-6_eeg	sub-0001	1.774	63	39	0.619	1.894	6.004
sub-0003_task-thermalactive_run-1_eeg	sub-0003	3.048	63	43	0.6825	2.795	7.027
sub-0003_task-thermalactive_run-2_eeg	sub-0003	2.856	63	41	0.6508	2.863	7.161
sub-0003_task-thermalactive_run-3_eeg	sub-0003	2.445	63	41	0.6508	2.561	7.416
sub-0003_task-thermalactive_run-4_eeg	sub-0003	2.852	63	44	0.6984	3.004	8.064
sub-0003_task-thermalactive_run-5_eeg	sub-0003	3.097	63	43	0.6825	3.111	8.708
sub-0003_task-thermalactive_run-6_eeg	sub-0003	3.44	63	43	0.6825	3.191	8.961
sub-0004_task-thermalactive_run-1_eeg	sub-0004	2.166	63	44	0.6984	1.723	6.427
sub-0004_task-thermalactive_run-2_eeg	sub-0004	2.123	63	46	0.7302	1.769	5.903
sub-0004_task-thermalactive_run-3_eeg	sub-0004	1.865	63	39	0.619	1.507	5.346
sub-0004_task-thermalactive_run-4_eeg	sub-0004	2.513	63	46	0.7302	1.945	7.127
sub-0004_task-thermalactive_run-5_eeg	sub-0004	1.399	63	33	0.5238	1.056	5.134
sub-0004_task-thermalactive_run-6_eeg	sub-0004	1.913	63	41	0.6508	1.598	6.392
sub-0005_task-thermalactive_run-1_eeg	sub-0005	1.6	63	32	0.5079	1.117	3.095
sub-0005_task-thermalactive_run-2_eeg	sub-0005	2.744	63	43	0.6825	2.236	5.167
sub-0005_task-thermalactive_run-3_eeg	sub-0005	2.165	63	40	0.6349	1.689	5.009
sub-0005_task-thermalactive_run-4_eeg	sub-0005	2.163	63	44	0.6984	1.717	4.347
sub-0005_task-thermalactive_run-5_eeg	sub-0005	3.248	63	46	0.7302	2.778	6.208
sub-0005_task-thermalactive_run-6_eeg	sub-0005	2.311	63	40	0.6349	1.744	4.838
sub-0006_task-thermalactive_run-1_eeg	sub-0006	1.373	63	35	0.5556	1.193	3.052
sub-0006_task-thermalactive_run-2_eeg	sub-0006	1.119	63	32	0.5079	1.088	2.676
sub-0006_task-thermalactive_run-3_eeg	sub-0006	4.276	63	50	0.7937	3.769	10.781
sub-0006_task-thermalactive_run-4_eeg	sub-0006	3.844	63	48	0.7619	2.996	7.099
sub-0006_task-thermalactive_run-5_eeg	sub-0006	5.115	63	49	0.7778	4.447	10.792
sub-0006_task-thermalactive_run-6_eeg	sub-0006	4.824	63	52	0.8254	4.306	11.56
sub-0007_task-thermalactive_run-1_eeg	sub-0007	2.176	63	38	0.6032	1.866	4.438
sub-0007_task-thermalactive_run-2_eeg	sub-0007	3.133	63	44	0.6984	2.698	6.399
sub-0007_task-thermalactive_run-3_eeg	sub-0007	2.92	63	44	0.6984	2.742	6.61
sub-0007_task-thermalactive_run-4_eeg	sub-0007	2.199	63	41	0.6508	2.025	5.174
sub-0007_task-thermalactive_run-5_eeg	sub-0007	3.053	63	44	0.6984	2.789	8.132
sub-0007_task-thermalactive_run-6_eeg	sub-0007	3.541	63	47	0.746	3.48	8.803
sub-0008_task-thermalactive_run-1_eeg	sub-0008	4.012	63	51	0.8095	3.619	8.984
sub-0008_task-thermalactive_run-2_eeg	sub-0008	4.811	63	51	0.8095	4.489	11.151
sub-0008_task-thermalactive_run-3_eeg	sub-0008	5.029	63	52	0.8254	4.742	10.857
sub-0008_task-thermalactive_run-4_eeg	sub-0008	5.118	63	50	0.7937	4.574	10.905
sub-0008_task-thermalactive_run-5_eeg	sub-0008	4.868	63	52	0.8254	4.441	10.888
sub-0008_task-thermalactive_run-6_eeg	sub-0008	5.22	63	50	0.7937	4.486	11.095
sub-0009_task-thermalactive_run-1_eeg	sub-0009	3.957	63	44	0.6984	3.453	8.311
sub-0009_task-thermalactive_run-2_eeg	sub-0009	4.55	63	47	0.746	4.433	9.617
sub-0009_task-thermalactive_run-3_eeg	sub-0009	4.67	63	49	0.7778	4.634	10.202
sub-0009_task-thermalactive_run-4_eeg	sub-0009	4.924	63	52	0.8254	5.26	10.604
sub-0009_task-thermalactive_run-5_eeg	sub-0009	2.859	63	42	0.6667	2.67	7.174
sub-0009_task-thermalactive_run-6_eeg	sub-0009	4.463	63	53	0.8413	4.318	9.705
sub-0010_task-thermalactive_run-1_eeg	sub-0010	1.427	63	37	0.5873	1.138	3.673
sub-0010_task-thermalactive_run-2_eeg	sub-0010	3.097	63	48	0.7619	2.923	7.867
sub-0010_task-thermalactive_run-3_eeg	sub-0010	2.539	63	42	0.6667	2.227	6.343
sub-0010_task-thermalactive_run-4_eeg	sub-0010	3.506	63	47	0.746	3.335	8.091
sub-0010_task-thermalactive_run-5_eeg	sub-0010	2.551	63	45	0.7143	2.875	7.511
sub-0010_task-thermalactive_run-6_eeg	sub-0010	3.049	63	47	0.746	3.425	8.106
sub-0011_task-thermalactive_run-1_eeg	sub-0011	3.332	63	49	0.7778	2.995	6.762
sub-0011_task-thermalactive_run-2_eeg	sub-0011	2.668	63	45	0.7143	2.417	5.62
sub-0011_task-thermalactive_run-3_eeg	sub-0011	2.286	63	45	0.7143	2.141	5.192
sub-0011_task-thermalactive_run-4_eeg	sub-0011	4.175	63	52	0.8254	3.328	7.922
sub-0011_task-thermalactive_run-5_eeg	sub-0011	2.599	63	44	0.6984	2.364	5.165
sub-0011_task-thermalactive_run-6_eeg	sub-0011	4.502	63	53	0.8413	3.863	7.758
sub-0012_task-thermalactive_run-1_eeg	sub-0012	2.185	63	40	0.6349	2.042	5.585
sub-0012_task-thermalactive_run-2_eeg	sub-0012	2.448	63	46	0.7302	2.295	5.944
sub-0012_task-thermalactive_run-3_eeg	sub-0012	3.721	63	46	0.7302	4.113	8.573
sub-0012_task-thermalactive_run-4_eeg	sub-0012	3.887	63	46	0.7302	4.164	8.096
sub-0012_task-thermalactive_run-5_eeg	sub-0012	3.198	63	48	0.7619	3.019	7.246
sub-0012_task-thermalactive_run-6_eeg	sub-0012	4.028	63	47	0.746	4.538	9.504
sub-0013_task-thermalactive_run-1_eeg	sub-0013	0.981	63	23	0.3651	0.757	3.174
sub-0013_task-thermalactive_run-2_eeg	sub-0013	1.026	63	27	0.4286	0.72	3.378
sub-0013_task-thermalactive_run-3_eeg	sub-0013	1.062	63	31	0.4921	0.96	3.375
sub-0013_task-thermalactive_run-4_eeg	sub-0013	1.091	63	33	0.5238	1.046	3.945
sub-0013_task-thermalactive_run-5_eeg	sub-0013	1.324	63	31	0.4921	0.842	5.626
sub-0013_task-thermalactive_run-6_eeg	sub-0013	0.785	63	27	0.4286	0.73	6.385
sub-0014_task-thermalactive_run-1_eeg	sub-0014	2.232	63	43	0.6825	2.09	7.025
sub-0014_task-thermalactive_run-2_eeg	sub-0014	2.052	63	39	0.619	1.949	6.875
sub-0014_task-thermalactive_run-3_eeg	sub-0014	1.564	63	34	0.5397	1.304	5.735
sub-0014_task-thermalactive_run-4_eeg	sub-0014	1.77	63	36	0.5714	1.246	6.166
sub-0014_task-thermalactive_run-5_eeg	sub-0014	1.427	63	35	0.5556	1.31	6.067
sub-0014_task-thermalactive_run-6_eeg	sub-0014	1.493	63	35	0.5556	1.214	6.153
sub-0015_task-thermalactive_run-1_eeg	sub-0015	2.233	63	40	0.6349	2.11	7.464
sub-0015_task-thermalactive_run-2_eeg	sub-0015	2.935	63	45	0.7143	2.797	7.954
sub-0015_task-thermalactive_run-3_eeg	sub-0015	3.037	63	44	0.6984	2.469	7.855
sub-0015_task-thermalactive_run-4_eeg	sub-0015	3.056	63	44	0.6984	2.53	8.585
sub-0015_task-thermalactive_run-5_eeg	sub-0015	3.125	63	47	0.746	2.947	8.986
sub-0015_task-thermalactive_run-6_eeg	sub-0015	2.693	63	46	0.7302	2.351	7.873
