[   15.0s] sub-0010_task-thermalactive_run-1_eeg: tooth 54.000 Hz (harmonic 45), cleaning background once
[   34.9s]   background terminal null = True
[   51.3s]   stationary   +0.000 Hz: remaining=0.000 error=1.027 (16s)
[   68.2s]   stationary   +0.025 Hz: remaining=0.033 error=0.672 (17s)
[   86.1s]   stationary   +0.050 Hz: remaining=0.232 error=0.269 (18s)
[  103.7s]   stationary   +0.075 Hz: remaining=0.619 error=0.045 (18s)
[  122.6s]   stationary   +0.100 Hz: remaining=0.973 error=0.000 (19s)
[  139.7s]   stationary   +0.150 Hz: remaining=1.079 error=0.001 (17s)
[  156.7s]   stationary   +0.200 Hz: remaining=0.999 error=0.000 (17s)
[  174.6s]   stationary   +0.300 Hz: remaining=1.000 error=0.000 (18s)
[  191.1s]   stationary   +0.450 Hz: remaining=1.000 error=0.000 (16s)
[  208.8s]   stationary   +0.600 Hz: remaining=1.000 error=0.000 (18s)
[  226.6s]   intermittent +0.000 Hz: remaining=0.000 error=1.015 (18s)
[  245.1s]   intermittent +0.025 Hz: remaining=0.035 error=0.659 (18s)
[  263.7s]   intermittent +0.050 Hz: remaining=0.233 error=0.268 (19s)
[  281.5s]   intermittent +0.075 Hz: remaining=0.610 error=0.048 (18s)
[  298.3s]   intermittent +0.100 Hz: remaining=0.963 error=0.000 (17s)
[  316.2s]   intermittent +0.150 Hz: remaining=1.079 error=0.002 (18s)
[  333.6s]   intermittent +0.200 Hz: remaining=0.998 error=0.000 (17s)
[  352.2s]   intermittent +0.300 Hz: remaining=0.999 error=0.000 (19s)
[  371.1s]   intermittent +0.450 Hz: remaining=1.000 error=0.000 (19s)
[  389.7s]   intermittent +0.600 Hz: remaining=1.000 error=0.000 (19s)
[  397.4s] sub-0003_task-thermalactive_run-1_eeg: tooth 55.200 Hz (harmonic 46), cleaning background once
[  423.1s]   background terminal null = True
[  441.9s]   stationary   +0.000 Hz: remaining=0.000 error=1.001 (19s)
[  459.7s]   stationary   +0.025 Hz: remaining=0.041 error=0.635 (18s)
[  478.7s]   stationary   +0.050 Hz: remaining=0.246 error=0.254 (19s)
[  496.1s]   stationary   +0.075 Hz: remaining=0.624 error=0.044 (17s)
[  517.5s]   stationary   +0.100 Hz: remaining=0.973 error=0.000 (21s)
[  534.6s]   stationary   +0.150 Hz: remaining=1.078 error=0.001 (17s)
[  551.5s]   stationary   +0.200 Hz: remaining=1.000 error=0.000 (17s)
[  569.2s]   stationary   +0.300 Hz: remaining=1.000 error=0.000 (18s)
[  586.6s]   stationary   +0.450 Hz: remaining=1.000 error=0.000 (17s)
[  604.5s]   stationary   +0.600 Hz: remaining=1.000 error=0.000 (18s)
[  622.7s]   intermittent +0.000 Hz: remaining=0.000 error=1.013 (18s)
[  640.9s]   intermittent +0.025 Hz: remaining=0.036 error=0.657 (18s)
[  658.5s]   intermittent +0.050 Hz: remaining=0.233 error=0.268 (18s)
[  676.5s]   intermittent +0.075 Hz: remaining=0.609 error=0.048 (18s)
[  693.8s]   intermittent +0.100 Hz: remaining=0.961 error=0.000 (17s)
[  711.0s]   intermittent +0.150 Hz: remaining=1.078 error=0.001 (17s)
[  728.2s]   intermittent +0.200 Hz: remaining=0.998 error=0.000 (17s)
[  746.0s]   intermittent +0.300 Hz: remaining=0.999 error=0.000 (18s)
[  762.7s]   intermittent +0.450 Hz: remaining=1.000 error=0.000 (17s)
[  779.5s]   intermittent +0.600 Hz: remaining=0.999 error=0.000 (17s)
[  787.4s] sub-0013_task-thermalactive_run-3_eeg: tooth 80.400 Hz (harmonic 67), cleaning background once
[  806.9s]   background terminal null = True
[  822.7s]   stationary   +0.000 Hz: remaining=0.000 error=1.027 (16s)
[  838.3s]   stationary   +0.025 Hz: remaining=0.033 error=0.671 (16s)
[  854.0s]   stationary   +0.050 Hz: remaining=0.234 error=0.267 (16s)
[  871.3s]   stationary   +0.075 Hz: remaining=0.622 error=0.045 (17s)
[  888.2s]   stationary   +0.100 Hz: remaining=0.973 error=0.000 (17s)
[  904.5s]   stationary   +0.150 Hz: remaining=1.079 error=0.002 (16s)
[  922.1s]   stationary   +0.200 Hz: remaining=0.999 error=0.000 (18s)
[  938.0s]   stationary   +0.300 Hz: remaining=1.000 error=0.000 (16s)
[  954.5s]   stationary   +0.450 Hz: remaining=1.000 error=0.000 (17s)
[  972.4s]   stationary   +0.600 Hz: remaining=1.001 error=0.000 (18s)
[  989.0s]   intermittent +0.000 Hz: remaining=0.000 error=1.015 (17s)
[ 1005.5s]   intermittent +0.025 Hz: remaining=0.035 error=0.659 (16s)
[ 1021.1s]   intermittent +0.050 Hz: remaining=0.233 error=0.268 (16s)
[ 1037.7s]   intermittent +0.075 Hz: remaining=0.610 error=0.048 (17s)
[ 1055.0s]   intermittent +0.100 Hz: remaining=0.962 error=0.000 (17s)
[ 1073.7s]   intermittent +0.150 Hz: remaining=1.079 error=0.001 (19s)
[ 1089.8s]   intermittent +0.200 Hz: remaining=0.998 error=0.000 (16s)
[ 1105.0s]   intermittent +0.300 Hz: remaining=0.999 error=0.000 (15s)
[ 1120.4s]   intermittent +0.450 Hz: remaining=0.998 error=0.000 (15s)
[ 1136.1s]   intermittent +0.600 Hz: remaining=0.996 error=0.000 (16s)
[ 1136.1s] done -> /private/tmp/claude-501/-Users-joduq24-Desktop-decomb/036c66a8-9a0f-4ae7-af80-1420cfc69bd3/scratchpad/comb_sweep.tsv (120 rows)
