recording	participant	candidate	residual_stage	spatial_rank	residual_protocol	channel_name	band	band_low_hz	band_high_hz	kind	position	authorized_line_hz	neighbouring_line_hz	centre_frequency_hz	injection_start_frequency_hz	injection_drift_hz	injection_occupancy	injection_phase_rad	phase_modulation_hz	phase_deviation_rad	injection_amplitude_v	requested_component_to_background_db	background_recovery_runtime_s	background_residual_runtime_s	injected_recovery_runtime_s	injected_residual_runtime_s	background_residual_round_count	injected_residual_round_count	filter_geometry_changed	injected_frequency_fir_unavailable	background_band_retained_share	injected_band_retained_share	background_terminal_residual_detector_null	background_targeted_local_background_excess_null	stage	injected_energy_v2	difference_energy_v2	measured_component_to_background_db	remaining_fraction	collateral_fraction	amplitude_ratio	component_error_fraction	component_correlation	subspace_phase_error_degrees	band_power_ratio	band_power_change_db	band_phase_error_degrees	terminal_residual_detector_null	targeted_local_background_excess_null	artifact_gate_passed	preservation_gate_passed	offset_hz	tooth_hz
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	exact	54.0	55.2	54.0	54.0	0.0	1.0	0.4487989505128276	0.0	0.0	4.676684463770448e-07	-10.0	7.233839749998879	12.458333167014644	6.665389833011432	5.132007624983089	2	2	False	False	1.0	1.0	True	False	recovery	5.4804976707171025e-08	7.451989898230267e-11	-10.0	0.00018491922483129323	0.0011748094614971447	0.013598500830286154	1.02734486795535	-0.9986376097440515	177.0088394684157	0.0008499495024812713	-30.70606875985944	175.0869303960176					0.0	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	exact	54.0	55.2	54.0	54.0	0.0	1.0	0.4487989505128276	0.0	0.0	4.676684463770448e-07	-10.0	7.233839749998879	12.458333167014644	6.665389833011432	5.132007624983089	2	2	False	False	1.0	1.0	True	False	final	5.4804976707171025e-08	7.425109686567212e-11	-10.0	0.00018509072751662196	0.001169733256122737	0.013604805309765442	1.0273579190248157	-0.9986481863799411	177.02047534904932	0.0008500039925912491	-30.705790343371476	175.08654662230597	False	False	False		0.0	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.025	54.025	0.0	1.0	0.4487989505128276	0.0	0.0	1.7376980256105045e-07	-10.0	7.233839749998879	12.458333167014644	7.228730334027205	5.313137791003101	2	2	False	False	1.0	1.0	True	False	recovery	7.566415257650965e-09	2.922757057900051e-10	-10.0	0.03249919331031948	0.0061288353977876995	0.18027532640469543	0.6719526187359597	0.9999886888707615	0.27251514162697804	0.04191980488871215	-13.775807473972513	12.885501135009822					0.025	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.025	54.025	0.0	1.0	0.4487989505128276	0.0	0.0	1.7376980256105045e-07	-10.0	7.233839749998879	12.458333167014644	7.228730334027205	5.313137791003101	2	2	False	False	1.0	1.0	True	False	final	7.566415257650965e-09	2.9223500042352973e-10	-10.0	0.032505788348217476	0.006116860617291919	0.18029361704790736	0.6719226140575892	0.9999887411289076	0.2718848929121661	0.041926794986655976	-13.77508335135418	12.884683246136323	False	False	False		0.025	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.05	54.05	0.0	1.0	0.4487989505128276	0.0	0.0	9.498482129596631e-08	-10.0	7.233839749998879	12.458333167014644	7.809714333008742	5.727367415995104	2	2	False	False	1.0	1.0	True	False	recovery	2.2607418761425184e-09	5.520723636045418e-10	-9.999999999999998	0.23162168134084582	0.012577963665310055	0.4812709022378621	0.2690803966235127	0.9999994600147353	0.0595427968796478	0.2526190775188539	-5.975338550937846	7.946361896899554					0.05	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.05	54.05	0.0	1.0	0.4487989505128276	0.0	0.0	9.498482129596631e-08	-10.0	7.233839749998879	12.458333167014644	7.809714333008742	5.727367415995104	2	2	False	False	1.0	1.0	True	False	final	2.2607418761425184e-09	5.519310055415146e-10	-9.999999999999998	0.23158336813876956	0.012553749577328728	0.481231096396284	0.26912168635429595	0.999999469061644	0.059041900206640005	0.2525751155999485	-5.976094395684392	7.9466113306593815	False	False	False		0.05	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.075	54.075	0.0	1.0	0.4487989505128276	0.0	0.0	1.232152961573008e-07	-10.0	7.233839749998879	12.458333167014644	7.585196375002852	5.667160207987763	2	2	False	False	1.0	1.0	True	False	recovery	3.804284911853363e-09	2.375311453375048e-09	-10.000000000000002	0.6194213731828834	0.0049565344691326054	0.7870332732374683	0.045354830012422465	0.9999999979006761	0.0037126089963994743	0.6308946830124332	-2.0004313267975258	2.712963394210683					0.075	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.075	54.075	0.0	1.0	0.4487989505128276	0.0	0.0	1.232152961573008e-07	-10.0	7.233839749998879	12.458333167014644	7.585196375002852	5.667160207987763	2	2	False	False	1.0	1.0	True	False	final	3.804284911853363e-09	2.3753950466573995e-09	-10.000000000000002	0.6194428651835256	0.0049570159232454536	0.7870469269259144	0.04534901583532301	0.9999999971389089	0.0043341639572507555	0.6309382500367644	-2.0001314310225475	2.7131735324670974	False	False	False		0.075	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.1	54.1	0.0	1.0	0.4487989505128276	0.0	0.0	1.0338653986099439e-07	-10.0	7.233839749998879	12.458333167014644	7.910375250008656	6.031676124985097	2	2	False	False	1.0	1.0	True	False	recovery	2.6783632055054813e-09	2.607892435676172e-09	-9.999999999999998	0.9732364082468633	0.00045245901183972077	0.9865274493124169	0.00018165896996877304	0.9999999243062422	0.02229293253082327	0.980017621971359	-0.08766115066571913	0.3337107048711539					0.1	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.1	54.1	0.0	1.0	0.4487989505128276	0.0	0.0	1.0338653986099439e-07	-10.0	7.233839749998879	12.458333167014644	7.910375250008656	6.031676124985097	2	2	False	False	1.0	1.0	True	False	final	2.6783632055054813e-09	2.608290235725668e-09	-9.999999999999998	0.9733777929679333	0.0004595978550829087	0.9865991044836465	0.00017974907003836114	0.9999999163442386	0.023436086748874485	0.9801747067030406	-0.0869650859856501	0.33365205411876714	False	False	False		0.1	54.0
