recording	participant	candidate	residual_stage	spatial_rank	residual_protocol	channel_name	band	band_low_hz	band_high_hz	kind	position	authorized_line_hz	neighbouring_line_hz	centre_frequency_hz	injection_start_frequency_hz	injection_drift_hz	injection_occupancy	injection_phase_rad	phase_modulation_hz	phase_deviation_rad	injection_amplitude_v	requested_component_to_background_db	background_recovery_runtime_s	background_residual_runtime_s	injected_recovery_runtime_s	injected_residual_runtime_s	background_residual_round_count	injected_residual_round_count	filter_geometry_changed	injected_frequency_fir_unavailable	background_band_retained_share	injected_band_retained_share	background_terminal_residual_detector_null	background_targeted_local_background_excess_null	stage	injected_energy_v2	difference_energy_v2	measured_component_to_background_db	remaining_fraction	collateral_fraction	amplitude_ratio	component_error_fraction	component_correlation	subspace_phase_error_degrees	band_power_ratio	band_power_change_db	band_phase_error_degrees	terminal_residual_detector_null	targeted_local_background_excess_null	artifact_gate_passed	preservation_gate_passed	offset_hz	tooth_hz
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	exact	51.6	52.800000000000004	51.6	51.6	0.0	1.0	0.4487989505128276	0.0	0.0	3.313889310866053e-07	-10.0	2.640622875012923	13.367840291000903	2.054230458015809	5.523906334012281	2	2	False	False	1.0	1.0	True	True	recovery	2.7518038411839212e-08	3.4191131820113873e-11	-10.0	9.714557406948446e-06	0.0012327843194535355	0.003116818475135895	0.9970278578872553	0.4783494281009878	61.42250561880485	0.00026195933830507344	-35.81766115245901	89.28338268461086					0.0	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	exact	51.6	52.800000000000004	51.6	51.6	0.0	1.0	0.4487989505128276	0.0	0.0	3.313889310866053e-07	-10.0	2.640622875012923	13.367840291000903	2.054230458015809	5.523906334012281	2	2	False	False	1.0	1.0	True	True	final	2.7518038411839212e-08	3.4178451782656624e-11	-10.0	9.707590886331664e-06	0.0012323304959546214	0.003115700705512592	0.9970296815662425	0.47822726030316753	61.430476132686486	0.0002619603027677255	-35.817645162953184	89.28358026459908	True	True	True		0.0	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.612500000000004	51.612500000000004	0.0	1.0	0.4487989505128276	0.0	0.0	9.622827311897968e-08	-10.0	2.640622875012923	13.367840291000903	2.1648175840091426	5.589004917012062	2	2	False	False	1.0	1.0	True	True	recovery	2.3203272393587966e-09	8.211231995282585e-11	-9.999999999999998	0.019843008765588605	0.015545241029520466	0.14086521488851889	0.7381263611604114	0.999951080286671	0.5667392523614637	0.02252063032170408	-16.47419458340807	16.289457308941103					0.0125	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.612500000000004	51.612500000000004	0.0	1.0	0.4487989505128276	0.0	0.0	9.622827311897968e-08	-10.0	2.640622875012923	13.367840291000903	2.1648175840091426	5.589004917012062	2	2	False	False	1.0	1.0	True	True	final	2.3203272393587966e-09	8.21058555902592e-11	-9.999999999999998	0.01984210277280512	0.015543361052093727	0.14086199903737387	0.7381319242078354	0.9999509466361669	0.5675129071862949	0.022520199151687494	-16.474277732302603	16.289645725276845	True	True	True		0.0125	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.625	51.625	0.0	1.0	0.4487989505128276	0.0	0.0	1.9006265081675713e-07	-10.0	2.640622875012923	13.367840291000903	2.147352208994562	5.668025166000007	2	2	False	False	1.0	1.0	True	True	recovery	9.051828597792049e-09	2.1476478693076427e-09	-10.0	0.21171151923934034	0.025549697773925364	0.46012120059756034	0.29147710999851734	0.9999913153813744	0.2387889064080192	0.20333264641680612	-6.917928868788685	13.840251461557605					0.025	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.625	51.625	0.0	1.0	0.4487989505128276	0.0	0.0	1.9006265081675713e-07	-10.0	2.640622875012923	13.367840291000903	2.147352208994562	5.668025166000007	2	2	False	False	1.0	1.0	True	True	final	9.051828597792049e-09	2.147740409355443e-09	-10.0	0.21172271902887566	0.025548721338359493	0.46013337091421186	0.2914639687813859	0.999991316016791	0.23878017065307605	0.20334282123675335	-6.917711552106967	13.839093664351596	True	True	True		0.025	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.6375	51.6375	0.0	1.0	0.4487989505128276	0.0	0.0	8.636875579378295e-08	-10.0	2.640622875012923	13.367840291000903	2.1245283750176895	5.694636250002077	2	2	False	False	1.0	1.0	True	True	recovery	1.869195654264621e-09	1.1789021519261827e-09	-10.0	0.6160503429200641	0.01464989931325222	0.7848887455684812	0.04628213065460488	0.999994089053031	0.19699984001300538	0.5924251363655599	-2.2736652281581677	9.63763787004702					0.0375	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.6375	51.6375	0.0	1.0	0.4487989505128276	0.0	0.0	8.636875579378295e-08	-10.0	2.640622875012923	13.367840291000903	2.1245283750176895	5.694636250002077	2	2	False	False	1.0	1.0	True	True	final	1.869195654264621e-09	1.1788834296869127e-09	-10.0	0.6160395789040817	0.014650647128304169	0.7848818885055774	0.046285094360773195	0.9999940803399961	0.19714498055388413	0.5924192839320175	-2.2737081313368415	9.637640101592726	True	True	True		0.0375	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.65	51.65	0.0	1.0	0.4487989505128276	0.0	0.0	1.0101834875741776e-07	-10.0	2.640622875012923	13.367840291000903	2.5480874580098316	5.7260261659976095	2	2	False	False	1.0	1.0	True	True	recovery	2.5570801131691497e-09	2.4922416258497943e-09	-9.999999999999998	0.9732883121933432	0.0013552326118439406	0.9865537553490652	0.00018091854233120286	0.9999999406787934	0.01973533450445194	0.9724801509769697	-0.12119254176183826	0.654906061367425					0.05	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.65	51.65	0.0	1.0	0.4487989505128276	0.0	0.0	1.0101834875741776e-07	-10.0	2.640622875012923	13.367840291000903	2.5480874580098316	5.7260261659976095	2	2	False	False	1.0	1.0	True	True	final	2.5570801131691497e-09	2.4921538851703733e-09	-9.999999999999998	0.9732505542378559	0.0013586777277127169	0.9865346188745004	0.0001814347718227304	0.9999999400512838	0.01983944172966333	0.972450002046339	-0.12132718427523534	0.6549998856684858	True	True	True		0.05	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.675000000000004	51.675000000000004	0.0	1.0	0.4487989505128276	0.0	0.0	7.00667552369065e-08	-10.0	2.640622875012923	13.367840291000903	2.108399415999884	5.756570750003448	2	2	False	False	1.0	1.0	True	True	recovery	1.23017079631834e-09	1.3592491370521871e-09	-10.0	1.0698260248119373	0.03510114556156824	1.0343239457790472	0.001178175622593071	0.9999999795186264	0.01159622514454355	1.1759366466037544	0.7038392482554235	7.985949656295535					0.075	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.675000000000004	51.675000000000004	0.0	1.0	0.4487989505128276	0.0	0.0	7.00667552369065e-08	-10.0	2.640622875012923	13.367840291000903	2.108399415999884	5.756570750003448	2	2	False	False	1.0	1.0	True	True	final	1.23017079631834e-09	1.3592390403982517e-09	-10.0	1.0698167231257991	0.03510223972571853	1.034319449264007	0.0011778661629871978	0.99999997990698	0.01148575918837219	1.175931997355174	0.7038220777131092	7.985903242645762	True	True	True		0.075	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.7	51.7	0.0	1.0	0.4487989505128276	0.0	0.0	7.934080818542929e-08	-10.0	2.640622875012923	13.367840291000903	2.4158351669902913	5.713766125001712	2	2	False	False	1.0	1.0	True	True	recovery	1.5773794133164428e-09	1.5788351352618935e-09	-10.0	0.9994142967953213	0.0015085768856739048	0.9997071055040678	1.4783983358408156e-07	0.9999999689645861	0.014274713461904513	1.010889636899065	0.047037444119587435	0.3693237604780187					0.1	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.7	51.7	0.0	1.0	0.4487989505128276	0.0	0.0	7.934080818542929e-08	-10.0	2.640622875012923	13.367840291000903	2.4158351669902913	5.713766125001712	2	2	False	False	1.0	1.0	True	True	final	1.5773794133164428e-09	1.578905075250417e-09	-10.0	0.999457892267927	0.001509320769754918	0.9997289093889038	1.36205077040408e-07	0.9999999686340183	0.014350534297269645	1.0109355288321775	0.04723459878613219	0.3693376213952458	True	True	True		0.1	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.75	51.75	0.0	1.0	0.4487989505128276	0.0	0.0	1.057159519309118e-07	-10.0	2.640622875012923	13.367840291000903	2.1732569159939885	5.717879208008526	2	2	False	False	1.0	1.0	True	True	recovery	2.8004150041957308e-09	2.802522661708264e-09	-9.999999999999998	0.9994911459317392	0.0012614773435562904	0.9997455405910742	6.479766122917432e-08	0.9999999999759586	0.000397297973560337	0.9951541306996299	-0.021096499795561656	0.104973910247042					0.15	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.75	51.75	0.0	1.0	0.4487989505128276	0.0	0.0	1.057159519309118e-07	-10.0	2.640622875012923	13.367840291000903	2.1732569159939885	5.717879208008526	2	2	False	False	1.0	1.0	True	True	final	2.8004150041957308e-09	2.80254313044395e-09	-9.999999999999998	0.9994965731081711	0.0012633593465477431	0.9997482548662794	6.338548520430393e-08	0.9999999999950624	0.0001800520372379225	0.9951660634102476	-0.02104442465317176	0.10498930490258754	True	True	True		0.15	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.800000000000004	51.800000000000004	0.0	1.0	0.4487989505128276	0.0	0.0	1.196481418278285e-07	-10.0	2.640622875012923	13.367840291000903	2.137094750010874	5.7555859579879325	2	2	False	False	1.0	1.0	True	True	recovery	3.5871990755878155e-09	3.6182964555849067e-09	-10.0	0.9999304890519396	0.00873849734718625	0.9999652439219773	1.576553503120811e-08	0.999999992720972	0.0069131496185816975	1.0088580540041476	0.038300654447053405	0.09244858318463497					0.2	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.800000000000004	51.800000000000004	0.0	1.0	0.4487989505128276	0.0	0.0	1.196481418278285e-07	-10.0	2.640622875012923	13.367840291000903	2.137094750010874	5.7555859579879325	2	2	False	False	1.0	1.0	True	True	final	3.5871990755878155e-09	3.6181254251066165e-09	-10.0	0.999879295593247	0.008742012805568234	0.9999396459753194	1.8387882595772275e-08	0.9999999926269177	0.00695766952394661	1.008816175462829	0.038120371434644446	0.09245366468992429	True	True	True		0.2	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.9	51.9	0.0	1.0	0.4487989505128276	0.0	0.0	1.733621530131888e-07	-10.0	2.640622875012923	13.367840291000903	2.1888675410009455	5.666574333998142	2	2	False	False	1.0	1.0	True	True	recovery	7.530952096118335e-09	7.533111588695806e-09	-9.999999999999998	1.0000032848817915	0.00028346406451179725	1.000001642439547	1.3581458990725077e-10	0.9999999999334415	0.0006610561905545472	1.0002866419892726	0.0012446919602601733	0.023918209256460397					0.3	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	stationary	near	51.6	52.800000000000004	51.9	51.9	0.0	1.0	0.4487989505128276	0.0	0.0	1.733621530131888e-07	-10.0	2.640622875012923	13.367840291000903	2.1888675410009455	5.666574333998142	2	2	False	False	1.0	1.0	True	True	final	7.530952096118335e-09	7.533380994454672e-09	-9.999999999999998	1.00003729967157	0.0002852224087062625	1.0000186496618801	6.326856279168888e-10	0.9999999998575646	0.0009670427752173339	1.0003257580727538	0.0014145189513472829	0.023918918479192194	False	True	False		0.3	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	exact	51.6	52.800000000000004	51.6	51.6	0.0	0.5	0.4487989505128276	0.0	0.0	2.998171422198334e-07	-10.0	2.640622875012923	13.367840291000903	2.270771541981958	5.817089791991748	2	2	False	False	1.0	1.0	True	True	recovery	1.126219436309842e-08	1.5583085236808146e-10	-10.0	0.0005352827298327046	0.0133013504647315	0.02313617794348722	0.9542629268522654	0.9999999997966909	0.001155351971893703	0.01268279679163674	-18.967849659147998	32.08991827531971					0.0	51.6
