recording	bin_hz	n_subtracted	inside_pm0p10_pct	inside_pm0p05_pct
sub-0000_task-thermalactive_run-2_eeg	0.025	159	99.97852523772963	99.67833233141988
sub-0000_task-thermalactive_run-3_eeg	0.025	171	99.9735421583578	99.56668587558144
sub-0000_task-thermalactive_run-1_eeg	0.025	166	99.97184020440261	99.59807438731313
sub-0000_task-thermalactive_run-4_eeg	0.025	155	99.97546148237699	99.64514596329624
sub-0000_task-thermalactive_run-5_eeg	0.025	159	99.96998765574922	99.6212601444434
sub-0000_task-thermalactive_run-6_eeg	0.025	166	99.96997642211886	99.58141111670813
sub-0001_task-thermalactive_run-2_eeg	0.025	149	99.97604833816078	99.89214122075111
sub-0001_task-thermalactive_run-3_eeg	0.025	166	99.97956750777851	99.94375306617843
sub-0001_task-thermalactive_run-1_eeg	0.025	167	99.964143268098	99.93368896399939
sub-0001_task-thermalactive_run-5_eeg	0.025	159	99.97170921648171	99.88218207659683
sub-0001_task-thermalactive_run-4_eeg	0.025	165	99.97535862097865	99.9074463678438
sub-0001_task-thermalactive_run-6_eeg	0.025	156	99.98169349768253	99.95181010206825
sub-0003_task-thermalactive_run-1_eeg	0.025	147	99.97305285933396	99.61928585284407
sub-0003_task-thermalactive_run-2_eeg	0.025	155	99.97455783666092	99.59466120543449
sub-0003_task-thermalactive_run-3_eeg	0.025	150	99.97028025696277	99.66939296223156
sub-0003_task-thermalactive_run-4_eeg	0.025	158	99.96003414066287	99.60249901228792
sub-0003_task-thermalactive_run-6_eeg	0.025	155	99.97038753459624	99.67003503963048
sub-0003_task-thermalactive_run-5_eeg	0.025	173	99.97261098387168	99.70138263105743
sub-0004_task-thermalactive_run-1_eeg	0.025	153	99.96896989285946	99.59243682786749
sub-0004_task-thermalactive_run-2_eeg	0.025	152	99.96183359781116	99.52436084862349
sub-0004_task-thermalactive_run-4_eeg	0.025	147	99.97651749650093	99.63758517267732
sub-0004_task-thermalactive_run-3_eeg	0.025	125	99.96687717710633	99.53622697787614
sub-0004_task-thermalactive_run-5_eeg	0.025	133	99.9640415020925	99.54046662528839
sub-0004_task-thermalactive_run-6_eeg	0.025	119	99.96851795732893	99.62227683390822
sub-0005_task-thermalactive_run-1_eeg	0.025	86	99.96702509426795	99.58240616554657
sub-0005_task-thermalactive_run-2_eeg	0.025	141	99.97523898666137	99.65723882171714
sub-0005_task-thermalactive_run-3_eeg	0.025	123	99.97657926794898	99.66652646825843
sub-0005_task-thermalactive_run-4_eeg	0.025	116	99.9764967923191	99.61121771240718
sub-0005_task-thermalactive_run-5_eeg	0.025	140	99.97449128220029	99.64710198838979
sub-0005_task-thermalactive_run-6_eeg	0.025	127	99.97391939624683	99.67447849132276
sub-0006_task-thermalactive_run-1_eeg	0.025	67	99.9678429446154	99.49700386096924
sub-0006_task-thermalactive_run-2_eeg	0.025	61	99.97324715922872	99.55627459792998
sub-0006_task-thermalactive_run-3_eeg	0.025	165	99.98403639834191	99.81324637617851
sub-0006_task-thermalactive_run-4_eeg	0.025	154	99.9774702392199	99.75427273613667
sub-0006_task-thermalactive_run-5_eeg	0.025	159	99.98180052766698	99.87312086115895
sub-0006_task-thermalactive_run-6_eeg	0.025	161	99.96603683282498	99.86331236204708
sub-0007_task-thermalactive_run-1_eeg	0.025	134	99.97110018227703	99.6061050392175
sub-0007_task-thermalactive_run-2_eeg	0.025	159	99.97491254314717	99.66864184019815
sub-0007_task-thermalactive_run-3_eeg	0.025	158	99.97805262524514	99.7561532524487
sub-0007_task-thermalactive_run-4_eeg	0.025	141	99.97819106820879	99.7149930325616
