recording	pm0p10_worst_bin_db	pm0p10_p999_bin_db	pm0p10_bins_over_0p5db	pm0p10_bins_outside	pm0p05_worst_bin_db	pm0p05_p999_bin_db	pm0p05_bins_over_0p5db	pm0p05_bins_outside
sub-0000_task-thermalactive_run-2_eeg	0.07283410910007572	0.051062517425943504	0	3228	2.2276813857686135	0.47750488762208065	2	3412
sub-0000_task-thermalactive_run-3_eeg	0.14175068694400744	0.0801015505832854	0	3192	3.1013468632701215	1.3586880083116533	12	3399
sub-0000_task-thermalactive_run-1_eeg	0.4107612780413181	0.04724191936130964	0	3197	59.999999999875115	0.7247148890986215	6	3395
sub-0000_task-thermalactive_run-4_eeg	0.1891383774021378	0.0827528362418707	0	3123	1.5994373399401487	0.9049083907934422	10	3313
sub-0000_task-thermalactive_run-5_eeg	0.15811636016001981	0.10062988622675764	0	3241	2.4091385043746865	1.0410226933795035	11	3431
sub-0000_task-thermalactive_run-6_eeg	0.16893973251079147	0.06522006892561912	0	3223	1.9517610176969358	0.897769312102582	17	3418
sub-0001_task-thermalactive_run-1_eeg	0.20776383620318487	0.07477163302979328	0	3184	4.119864573096958	0.5891078974119245	5	3351
sub-0001_task-thermalactive_run-2_eeg	0.07619926936897276	0.06056795906451066	0	3314	0.9256484018777515	0.672479126014333	7	3512
sub-0001_task-thermalactive_run-3_eeg	0.11692944682116072	0.07467620682307582	0	3221	1.010072183976265	0.5108876457061449	4	3397
sub-0001_task-thermalactive_run-4_eeg	0.08316064230595702	0.0538630858264986	0	3263	0.6665022060024485	0.43092396288538304	3	3438
sub-0001_task-thermalactive_run-5_eeg	0.09533427822679127	0.07441467743343244	0	3179	1.0587794238369053	0.47383556593980886	3	3329
sub-0001_task-thermalactive_run-6_eeg	0.10165712608919669	0.06075527915388598	0	3180	1.1620403035581197	0.5391570605409967	4	3355
sub-0003_task-thermalactive_run-1_eeg	0.08111427966721875	0.031250545550996454	0	3099	0.7864149900799382	0.5357265543974091	4	3271
sub-0003_task-thermalactive_run-2_eeg	0.2387491678243709	0.03492705345832335	0	3271	2.7080874091968727	0.3755724374887536	2	3473
sub-0003_task-thermalactive_run-3_eeg	0.06835886367118875	0.04243914743931092	0	3159	0.7254129010352295	0.49837345651332426	4	3351
sub-0003_task-thermalactive_run-5_eeg	0.20615643861583588	0.05459269590334783	0	3169	59.999999999875115	0.7826707964674127	10	3366
sub-0003_task-thermalactive_run-4_eeg	0.5417055106943536	0.08057486869064785	1	3268	1.1233733526284717	0.5998424892133354	7	3472
sub-0003_task-thermalactive_run-6_eeg	0.2776772437315885	0.056373642088136125	0	3158	2.6998628850066115	0.797379055585143	7	3349
sub-0004_task-thermalactive_run-3_eeg	0.18776058956887315	0.04584982937352446	0	3292	1.5137852140281094	0.43656170733573696	2	3458
sub-0004_task-thermalactive_run-1_eeg	0.13774377211790878	0.05107362980325779	0	3248	1.4502484617064126	0.6775374773246647	6	3430
sub-0004_task-thermalactive_run-2_eeg	0.21359355664458407	0.06889029846732769	0	3232	1.6654690688196099	0.9131228404853837	5	3419
sub-0004_task-thermalactive_run-4_eeg	0.11282375741313205	0.05733195720363396	0	3137	1.5069383494541584	0.6265595805302218	7	3320
sub-0004_task-thermalactive_run-5_eeg	0.10247389646497695	0.037428987229705044	0	3360	0.9753905085085088	0.3729196603513659	1	3514
sub-0004_task-thermalactive_run-6_eeg	0.11859919133473258	0.04674509161661778	0	3239	2.64908716274	0.5543065763678703	5	3408
sub-0005_task-thermalactive_run-1_eeg	0.2162045046565575	0.06449894408611226	0	3400	0.6175319203571651	0.3217579540145043	2	3536
sub-0005_task-thermalactive_run-2_eeg	0.06639665608392911	0.026477804995889812	0	3171	2.5116694490725315	0.4562547962047884	3	3350
sub-0005_task-thermalactive_run-3_eeg	0.26323879185608917	0.024628469950223678	0	3242	0.7187555565517572	0.4386931764932572	3	3408
sub-0005_task-thermalactive_run-4_eeg	0.2427990427801668	0.06358706719868376	0	3196	1.187494774827977	0.5503514927903682	4	3385
sub-0005_task-thermalactive_run-5_eeg	0.05146470276894957	0.02898338351363837	0	3189	3.454151014662687	0.5616004866861048	5	3388
sub-0005_task-thermalactive_run-6_eeg	0.050767808031540386	0.028658200493550706	0	3166	0.5991451036547116	0.3714260198583258	1	3330
sub-0006_task-thermalactive_run-1_eeg	0.4015827135262082	0.02100579781697372	0	3296	1.55100334100555	0.4250357063142955	2	3432
