recording	participant	comb_db_before	comb_db_after	teeth_tested	teeth_proud_2db_before	teeth_proud_2db_after	teeth_above_null_p99_after	null_p99_db	null_bins	correlation	change_rms
sub-0000_task-thermalactive_run-3_eeg	sub-0000	4.35	-0.28	63	40	1	0	4.02	150	0.99567	0.01683
sub-0000_task-thermalactive_run-2_eeg	sub-0000	4.04	-0.14	63	39	0	0	5.35	150	0.99463	0.02441
sub-0000_task-thermalactive_run-1_eeg	sub-0000	4.54	-0.15	63	39	0	0	4.24	150	0.99441	0.04259
sub-0000_task-thermalactive_run-4_eeg	sub-0000	4.2	0.0	63	40	4	2	13.43	150	0.99579	0.01366
sub-0000_task-thermalactive_run-5_eeg	sub-0000	4.12	-0.14	63	41	0	0	6.14	150	0.99666	0.0096
sub-0000_task-thermalactive_run-6_eeg	sub-0000	4.36	-0.27	63	42	1	0	3.31	150	0.9973	0.00735
sub-0001_task-thermalactive_run-3_eeg	sub-0001	2.17	-0.19	63	32	2	0	9.57	150	0.93804	0.22437
sub-0001_task-thermalactive_run-1_eeg	sub-0001	2.76	-0.4	63	36	3	0	8.38	150	0.95698	0.21653
sub-0001_task-thermalactive_run-2_eeg	sub-0001	2.27	-0.15	63	32	1	0	6.31	150	0.98273	0.13514
sub-0001_task-thermalactive_run-4_eeg	sub-0001	2.92	0.0	63	34	1	0	7.25	150	0.98324	0.13255
sub-0001_task-thermalactive_run-5_eeg	sub-0001	2.4	-0.41	63	32	3	0	6.26	150	0.99368	0.09436
sub-0001_task-thermalactive_run-6_eeg	sub-0001	1.77	-0.31	63	31	2	0	10.25	150	0.96903	0.19688
sub-0003_task-thermalactive_run-3_eeg	sub-0003	2.44	-0.12	63	36	3	0	25.04	150	0.99532	0.05466
sub-0003_task-thermalactive_run-1_eeg	sub-0003	3.05	0.11	63	37	3	0	14.78	150	0.99597	0.05717
sub-0003_task-thermalactive_run-2_eeg	sub-0003	2.86	-0.09	63	37	0	0	1.9	150	0.99555	0.05617
sub-0003_task-thermalactive_run-4_eeg	sub-0003	2.85	-0.1	63	37	0	0	2.6	150	0.99563	0.05592
sub-0003_task-thermalactive_run-5_eeg	sub-0003	3.1	-0.19	63	40	1	1	1.92	150	0.99435	0.05985
sub-0003_task-thermalactive_run-6_eeg	sub-0003	3.44	-0.07	63	40	1	0	2.19	150	0.9944	0.05049
sub-0004_task-thermalactive_run-1_eeg	sub-0004	2.17	-0.13	63	29	1	1	2.29	150	0.99827	0.04988
sub-0004_task-thermalactive_run-2_eeg	sub-0004	2.12	0.01	63	27	0	0	2.04	150	0.99753	0.05101
sub-0004_task-thermalactive_run-3_eeg	sub-0004	1.86	0.19	63	26	1	2	1.92	150	0.99773	0.04602
sub-0004_task-thermalactive_run-6_eeg	sub-0004	1.91	0.18	63	27	3	3	2.06	150	0.99794	0.03192
sub-0004_task-thermalactive_run-4_eeg	sub-0004	2.51	-0.03	63	31	3	3	2.19	150	0.99791	0.04069
sub-0004_task-thermalactive_run-5_eeg	sub-0004	1.4	0.03	63	23	0	0	1.97	150	0.99983	0.01683
sub-0005_task-thermalactive_run-3_eeg	sub-0005	2.17	-0.0	63	30	3	1	16.47	150	0.99354	0.06453
sub-0005_task-thermalactive_run-1_eeg	sub-0005	1.6	0.25	63	23	0	0	2.43	150	0.99259	0.08324
sub-0005_task-thermalactive_run-2_eeg	sub-0005	2.74	-0.02	63	32	1	0	2.24	150	0.9933	0.07209
sub-0005_task-thermalactive_run-4_eeg	sub-0005	2.16	0.17	63	27	1	1	3.25	150	0.99582	0.05421
sub-0005_task-thermalactive_run-6_eeg	sub-0005	2.31	0.0	63	28	3	1	27.43	150	0.99462	0.04763
