recording	participant	arm	n_targets	n_scanner_harmonics	fir_rounds	n_fir_stopbands	peaks_above_2dB	peaks_above_null_p99	null_p99_db	null_frac_over_2db	comb_db	damage_half_hz	unavail_hz_total	unavail_hz_fir_only	correlation	change_rms	delta_kept	delta_kept_fir_only	theta_kept	theta_kept_fir_only	alpha_kept	alpha_kept_fir_only	beta_kept	beta_kept_fir_only	gamma_kept	gamma_kept_fir_only
sub-0000_task-thermalactive_run-5_eeg	sub-0000	derived_shipped	109	2	2	11	24	23	2.6	0.0411	0.01	0.2	24.03	3.3	0.99677	0.00944	1.0	1.0	1.0	1.0	1.0	1.0	0.9397	0.9676	0.7478	0.9629
sub-0000_task-thermalactive_run-4_eeg	sub-0000	derived_shipped	105	0	2	12	28	26	2.39	0.055	0.19	0.2	24.59	6.36	0.99606	0.0132	1.0	1.0	1.0	1.0	1.0	1.0	0.9353	1.0	0.7552	0.9576
sub-0000_task-thermalactive_run-1_eeg	sub-0000	derived_shipped	106	1	2	12	19	7	3.3	0.0627	-0.1	0.2	23.45	3.65	0.99465	0.04166	1.0	1.0	1.0	1.0	1.0	1.0	0.9397	0.9618	0.7601	0.9709
sub-0000_task-thermalactive_run-3_eeg	sub-0000	derived_shipped	109	1	3	11	24	22	2.42	0.0654	-0.34	0.2	23.63	3.7	0.99582	0.01655	1.0	1.0	1.0	1.0	1.0	1.0	0.9397	0.9618	0.7595	0.9619
sub-0000_task-thermalactive_run-2_eeg	sub-0000	derived_shipped	105	0	3	14	23	19	2.5	0.052	0.28	0.2	24.03	6.38	0.99457	0.02454	1.0	1.0	1.0	1.0	1.0	1.0	0.9397	0.9618	0.7645	0.9519
sub-0000_task-thermalactive_run-6_eeg	sub-0000	derived_shipped	107	0	3	12	24	21	2.15	0.0186	0.04	0.2	24.23	4.1	0.99731	0.00734	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.741	0.9569
sub-0001_task-thermalactive_run-4_eeg	sub-0001	derived_shipped	118	3	2	8	13	8	2.75	0.0561	-0.49	0.2	25.88	2.05	0.98026	0.14376	1.0	1.0	0.8974	1.0	1.0	1.0	0.9118	1.0	0.7385	0.9704
sub-0001_task-thermalactive_run-2_eeg	sub-0001	derived_shipped	111	1	3	13	14	3	8.53	0.013	-0.08	0.2	24.85	3.4	0.98038	0.14394	1.0	1.0	1.0	1.0	1.0	1.0	0.9059	1.0	0.748	0.9459
sub-0001_task-thermalactive_run-3_eeg	sub-0001	derived_shipped	120	1	3	13	14	16	1.89	0.0108	-0.36	0.2	26.6	5.5	0.92965	0.23861	1.0	1.0	1.0	1.0	1.0	1.0	0.9294	1.0	0.7064	0.9254
sub-0001_task-thermalactive_run-1_eeg	sub-0001	derived_shipped	124	2	3	11	13	6	6.11	0.0441	-0.58	0.2	27.11	5.3	0.96462	0.19674	0.8621	1.0	1.0	1.0	1.0	1.0	0.8985	0.9735	0.7143	0.9404
