recording	participant	arm	stopbands	of_lines	peaks_above_2dB	worst_prom_db	worst_level_db	median_suppression_db	comb_db	correlation	change_rms	fir_rounds	delta_kept	theta_kept	alpha_kept	beta_kept	gamma_kept
sub-0000_task-thermalactive_run-2_eeg	sub-0000	notching	0	143	26	28.27	-1.0600000000000001	-31.93	0.12	0.99800999999999995	0.023949999999999999	3	1	1	1	0.96989999999999998	0.80120000000000002
sub-0000_task-thermalactive_run-2_eeg	sub-0000	notching_declared	0	143	30	34.350000000000001	-8.5700000000000003	-32.5	-7.04	0.98060999999999998	0.074529999999999999	2	0.67820000000000003	0.76070000000000004	0.746	0.69930000000000003	0.54259999999999997
sub-0000_task-thermalactive_run-2_eeg	sub-0000	fixed_lines_only	6	143	19	6.0199999999999996	-1.3	-9.9499999999999993	0.38	0.99807999999999997	0.02358	1	1	1	1	0.9405	0.96550000000000002
sub-0000_task-thermalactive_run-2_eeg	sub-0000	comb_subtracted	6	143	6	6.0300000000000002	-1.75	-9.5500000000000007	-0.10000000000000001	0.99787000000000003	0.024819999999999998	1	1	1	1	0.95820000000000005	0.97550000000000003
sub-0000_task-thermalactive_run-2_eeg	sub-0000	lines_declared	6	143	13	5.8300000000000001	-1.3	-9.9499999999999993	0.38	0.99814999999999998	0.023140000000000001	1	1	1	1	0.9405	0.96550000000000002
sub-0000_task-thermalactive_run-3_eeg	sub-0000	notching	0	151	28	27.699999999999999	-0.45000000000000001	-32.490000000000002	-0.17000000000000001	0.99846000000000001	0.016369999999999999	3	1	1	1	0.96989999999999998	0.79490000000000005
sub-0000_task-thermalactive_run-3_eeg	sub-0000	notching_declared	0	151	37	30.390000000000001	-7.2599999999999998	-33.310000000000002	-7	0.98141	0.05663	3	0.67820000000000003	0.76070000000000004	0.746	0.68240000000000001	0.5605
sub-0000_task-thermalactive_run-3_eeg	sub-0000	fixed_lines_only	4	151	16	6.3200000000000003	-0.45000000000000001	-10.880000000000001	0.29999999999999999	0.99861999999999995	0.01549	2	1	1	1	1	0.95999999999999996
sub-0000_task-thermalactive_run-3_eeg	sub-0000	comb_subtracted	4	151	4	3.4900000000000002	-1.01	-10.789999999999999	-0.28000000000000003	0.99836000000000003	0.016899999999999998	2	1	1	1	1	0.97550000000000003
sub-0000_task-thermalactive_run-3_eeg	sub-0000	lines_declared	4	151	15	6.3200000000000003	-0.45000000000000001	-10.880000000000001	0.29999999999999999	0.99863999999999997	0.01541	2	1	1	1	1	0.95999999999999996
sub-0000_task-thermalactive_run-1_eeg	sub-0000	notching	0	149	28	30.84	-0.12	-30.02	-0.10000000000000001	0.99719000000000002	0.045060000000000003	3	1	1	1	0.96989999999999998	0.75970000000000004
sub-0000_task-thermalactive_run-1_eeg	sub-0000	notching_declared	0	149	21	29.09	-7.29	-30.039999999999999	-6.9199999999999999	0.96631	0.15495999999999999	3	0.67820000000000003	0.76070000000000004	0.746	0.68240000000000001	0.62570000000000003
sub-0000_task-thermalactive_run-1_eeg	sub-0000	fixed_lines_only	5	149	22	4.8300000000000001	-0.12	-9.1400000000000006	0.31	0.99773999999999996	0.040419999999999998	2	1	1	1	0.96989999999999998	0.97430000000000005
sub-0000_task-thermalactive_run-1_eeg	sub-0000	comb_subtracted	5	149	9	4.8300000000000001	-0.88	-8.9700000000000006	-0.14999999999999999	0.99743000000000004	0.04308	1	1	1	1	0.97909999999999997	0.97719999999999996
sub-0000_task-thermalactive_run-1_eeg	sub-0000	lines_declared	5	149	14	4.7400000000000002	-0.12	-9.0700000000000003	0.31	0.99778999999999995	0.039910000000000001	2	1	1	1	0.96989999999999998	0.97430000000000005
sub-0000_task-thermalactive_run-4_eeg	sub-0000	notching	0	136	16	6.5300000000000002	-0.56000000000000005	-31.170000000000002	0.52000000000000002	0.99844999999999995	0.013440000000000001	3	1	1	1	0.94579999999999997	0.80559999999999998
sub-0000_task-thermalactive_run-4_eeg	sub-0000	notching_declared	0	136	30	29.050000000000001	-6.9299999999999997	-32.299999999999997	-6.7699999999999996	0.98609999999999998	0.040090000000000001	3	0.67820000000000003	0.76070000000000004	0.746	0.69350000000000001	0.57830000000000004
sub-0000_task-thermalactive_run-4_eeg	sub-0000	fixed_lines_only	6	136	20	27.59	-0.56000000000000005	-9.1500000000000004	0.45000000000000001	0.99855000000000005	0.01298	2	1	1	1	0.9758	0.87919999999999998
sub-0000_task-thermalactive_run-4_eeg	sub-0000	comb_subtracted	6	136	9	33.649999999999999	-0.83999999999999997	-9.1500000000000004	-0	0.99841999999999997	0.013559999999999999	2	1	1	1	0.9758	0.90990000000000004
sub-0000_task-thermalactive_run-4_eeg	sub-0000	lines_declared	6	136	24	18.050000000000001	-0.56000000000000005	-9.1500000000000004	0.089999999999999997	0.99853000000000003	0.01306	3	1	1	1	0.9758	0.87109999999999999
sub-0000_task-thermalactive_run-5_eeg	sub-0000	notching	0	139	40	31.050000000000001	-0.73999999999999999	-35.390000000000001	-0.29999999999999999	0.98729999999999996	0.032259999999999997	4	0.69350000000000001	0.6895	0.746	0.66930000000000001	0.49590000000000001
sub-0000_task-thermalactive_run-5_eeg	sub-0000	notching_declared	0	139	44	32.399999999999999	-7.5800000000000001	-33.539999999999999	-6.3200000000000003	0.98873	0.0304	3	0.67820000000000003	0.76070000000000004	0.746	0.68759999999999999	0.49519999999999997
sub-0000_task-thermalactive_run-5_eeg	sub-0000	fixed_lines_only	7	139	23	20.52	-0.72999999999999998	-9.8699999999999992	0.57999999999999996	0.99892999999999998	0.0093699999999999999	2	1	1	1	0.9405	0.96189999999999998
sub-0000_task-thermalactive_run-5_eeg	sub-0000	comb_subtracted	8	139	12	20.52	-1.3700000000000001	-9.7200000000000006	-0.070000000000000007	0.99882000000000004	0.0098700000000000003	2	1	1	1	0.96989999999999998	0.97019999999999995
sub-0000_task-thermalactive_run-5_eeg	sub-0000	lines_declared	7	139	12	6.75	-0.72999999999999998	-9.8699999999999992	0.54000000000000004	0.999	0.0090900000000000009	1	1	1	1	0.9405	0.96279999999999999
