recording	participant	arm	stopbands	of_lines	peaks_above_2dB	worst_prom_db	worst_level_db	median_suppression_db	comb_db	correlation	change_rms	fir_rounds	delta_kept	theta_kept	alpha_kept	beta_kept	gamma_kept
sub-0005_task-thermalactive_run-6_eeg	sub-0005	notching	0	115	26	32.170000000000002	-1.6699999999999999	-30.329999999999998	-2.1699999999999999	0.96460000000000001	0.16475999999999999	3	0.69350000000000001	0.6895	0.746	0.61180000000000001	0.4556
sub-0005_task-thermalactive_run-6_eeg	sub-0005	notching_declared	0	115	15	30.129999999999999	-8.7599999999999998	-28.399999999999999	-6.96	0.96550000000000002	0.16267000000000001	3	0.67820000000000003	0.76070000000000004	0.746	0.66930000000000001	0.52480000000000004
sub-0005_task-thermalactive_run-6_eeg	sub-0005	fixed_lines_only	7	115	12	24.050000000000001	-1.21	-4.8600000000000003	0.20999999999999999	0.99714000000000003	0.047199999999999999	3	1	1	1	0.91269999999999996	0.871
sub-0005_task-thermalactive_run-6_eeg	sub-0005	comb_subtracted	4	115	7	18.34	-2.3599999999999999	-4.8099999999999996	-0.13	0.99712999999999996	0.047309999999999998	3	1	1	1	0.93630000000000002	0.88970000000000005
sub-0005_task-thermalactive_run-6_eeg	sub-0005	lines_declared	7	115	13	35.240000000000002	-1.21	-4.9900000000000002	0.19	0.99704999999999999	0.047969999999999999	3	1	1	1	0.91269999999999996	0.85319999999999996
sub-0001_task-thermalactive_run-6_eeg	sub-0001	notching	0	147	45	33.659999999999997	-1.0700000000000001	-30.539999999999999	-1.04	0.96428999999999998	0.26186999999999999	3	0.69350000000000001	0.6895	0.746	0.57840000000000003	0.48680000000000001
sub-0001_task-thermalactive_run-6_eeg	sub-0001	notching_declared	0	147	27	31.280000000000001	-6.5	-29.440000000000001	-7.1900000000000004	0.96797	0.24822	2	0.67820000000000003	0.76070000000000004	0.746	0.69350000000000001	0.58609999999999995
sub-0001_task-thermalactive_run-6_eeg	sub-0001	fixed_lines_only	7	147	28	33.289999999999999	-1.0800000000000001	-7.6299999999999999	-0.20999999999999999	0.96572999999999998	0.25663000000000002	3	0.69350000000000001	0.6895	0.746	0.58299999999999996	0.6593
sub-0001_task-thermalactive_run-6_eeg	sub-0001	comb_subtracted	6	147	28	33.280000000000001	-1.45	-7.6299999999999999	-0.26000000000000001	0.96572000000000002	0.25667000000000001	3	0.69350000000000001	0.6895	0.746	0.62219999999999998	0.65059999999999996
sub-0001_task-thermalactive_run-6_eeg	sub-0001	lines_declared	7	147	8	5.9900000000000002	-0.72999999999999998	-6.1299999999999999	-0.20000000000000001	0.97994999999999999	0.19697999999999999	2	1	1	1	0.9758	0.9294
