recording	raw_comb_db
sub-0000_task-thermalactive_run-1_eeg	4.54
sub-0000_task-thermalactive_run-2_eeg	4.04
sub-0000_task-thermalactive_run-3_eeg	4.35
sub-0000_task-thermalactive_run-4_eeg	4.2
sub-0000_task-thermalactive_run-6_eeg	4.36
sub-0000_task-thermalactive_run-5_eeg	4.12
sub-0001_task-thermalactive_run-2_eeg	2.27
sub-0001_task-thermalactive_run-1_eeg	2.76
sub-0001_task-thermalactive_run-3_eeg	2.17
sub-0001_task-thermalactive_run-4_eeg	2.92
sub-0001_task-thermalactive_run-5_eeg	2.4
sub-0001_task-thermalactive_run-6_eeg	1.77
sub-0003_task-thermalactive_run-2_eeg	2.86
sub-0003_task-thermalactive_run-1_eeg	3.05
sub-0003_task-thermalactive_run-3_eeg	2.44
sub-0003_task-thermalactive_run-4_eeg	2.85
sub-0003_task-thermalactive_run-5_eeg	3.1
sub-0003_task-thermalactive_run-6_eeg	3.44
sub-0004_task-thermalactive_run-2_eeg	2.12
sub-0004_task-thermalactive_run-1_eeg	2.17
sub-0004_task-thermalactive_run-3_eeg	1.86
sub-0004_task-thermalactive_run-4_eeg	2.51
sub-0004_task-thermalactive_run-5_eeg	1.4
sub-0004_task-thermalactive_run-6_eeg	1.91
sub-0005_task-thermalactive_run-2_eeg	2.74
sub-0005_task-thermalactive_run-1_eeg	1.6
sub-0005_task-thermalactive_run-3_eeg	2.17
sub-0005_task-thermalactive_run-4_eeg	2.16
sub-0005_task-thermalactive_run-5_eeg	3.25
sub-0005_task-thermalactive_run-6_eeg	2.31
sub-0006_task-thermalactive_run-1_eeg	1.37
sub-0006_task-thermalactive_run-2_eeg	1.12
sub-0006_task-thermalactive_run-4_eeg	3.84
sub-0006_task-thermalactive_run-3_eeg	4.28
sub-0006_task-thermalactive_run-5_eeg	5.12
sub-0006_task-thermalactive_run-6_eeg	4.82
sub-0007_task-thermalactive_run-1_eeg	2.18
sub-0007_task-thermalactive_run-2_eeg	3.13
sub-0007_task-thermalactive_run-4_eeg	2.2
sub-0007_task-thermalactive_run-3_eeg	2.92
sub-0007_task-thermalactive_run-5_eeg	3.05
sub-0007_task-thermalactive_run-6_eeg	3.54
sub-0008_task-thermalactive_run-1_eeg	4.01
sub-0008_task-thermalactive_run-4_eeg	5.12
sub-0008_task-thermalactive_run-2_eeg	4.81
sub-0008_task-thermalactive_run-3_eeg	5.03
sub-0008_task-thermalactive_run-5_eeg	4.87
sub-0008_task-thermalactive_run-6_eeg	5.22
sub-0009_task-thermalactive_run-1_eeg	3.96
sub-0009_task-thermalactive_run-2_eeg	4.55
sub-0009_task-thermalactive_run-4_eeg	4.92
sub-0009_task-thermalactive_run-3_eeg	4.67
sub-0010_task-thermalactive_run-1_eeg	1.43
sub-0009_task-thermalactive_run-5_eeg	2.86
sub-0009_task-thermalactive_run-6_eeg	4.46
sub-0010_task-thermalactive_run-2_eeg	3.1
sub-0010_task-thermalactive_run-3_eeg	2.54
sub-0010_task-thermalactive_run-4_eeg	3.51
sub-0010_task-thermalactive_run-6_eeg	3.05
sub-0010_task-thermalactive_run-5_eeg	2.55
sub-0011_task-thermalactive_run-1_eeg	3.33
sub-0011_task-thermalactive_run-2_eeg	2.67
sub-0011_task-thermalactive_run-3_eeg	2.29
sub-0011_task-thermalactive_run-4_eeg	4.17
sub-0011_task-thermalactive_run-5_eeg	2.6
sub-0012_task-thermalactive_run-1_eeg	2.18
sub-0011_task-thermalactive_run-6_eeg	4.5
sub-0012_task-thermalactive_run-3_eeg	3.72
sub-0012_task-thermalactive_run-2_eeg	2.45
sub-0012_task-thermalactive_run-4_eeg	3.89
sub-0012_task-thermalactive_run-5_eeg	3.2
sub-0013_task-thermalactive_run-1_eeg	0.98
sub-0012_task-thermalactive_run-6_eeg	4.03
sub-0013_task-thermalactive_run-2_eeg	1.03
sub-0013_task-thermalactive_run-4_eeg	1.09
sub-0013_task-thermalactive_run-3_eeg	1.06
sub-0013_task-thermalactive_run-5_eeg	1.32
sub-0014_task-thermalactive_run-1_eeg	2.23
sub-0013_task-thermalactive_run-6_eeg	0.79
sub-0014_task-thermalactive_run-4_eeg	1.77
sub-0014_task-thermalactive_run-2_eeg	2.05
sub-0014_task-thermalactive_run-3_eeg	1.56
sub-0014_task-thermalactive_run-6_eeg	1.49
sub-0014_task-thermalactive_run-5_eeg	1.43
sub-0015_task-thermalactive_run-1_eeg	2.23
sub-0015_task-thermalactive_run-4_eeg	3.06
sub-0015_task-thermalactive_run-2_eeg	2.94
sub-0015_task-thermalactive_run-3_eeg	3.04
sub-0015_task-thermalactive_run-6_eeg	2.69
sub-0015_task-thermalactive_run-5_eeg	3.12
