recording	participant	arm	stopbands	of_lines	peaks_above_2dB	worst_prom_db	worst_level_db	median_suppression_db	comb_db	correlation	change_rms	fir_rounds	delta_kept	theta_kept	alpha_kept	beta_kept	gamma_kept	group
sub-0006_task-thermalactive_run-2_eeg	sub-0006	notching_declared	0	42	14	35.87	1.25	-8.18	0.0	0.98916	0.13452	3	1.0	1.0	1.0	0.9634	0.7183	failure
sub-0006_task-thermalactive_run-2_eeg	sub-0006	comb_subtracted	0	42	2	2.23	0.13	-1.83	0.14	0.99608	0.08106	1	1.0	1.0	1.0	1.0	0.9875	failure
sub-0006_task-thermalactive_run-2_eeg	sub-0006	combined	0	42	11	40.4	0.13	-2.0	0.11	0.99393	0.10076	2	1.0	1.0	1.0	1.0	0.9875	failure
sub-0006_task-thermalactive_run-1_eeg	sub-0006	notching_declared	0	44	18	32.45	3.0	-8.04	0.24	0.99626	0.07427	4	1.0	1.0	1.0	0.9634	0.6918	failure
sub-0006_task-thermalactive_run-1_eeg	sub-0006	comb_subtracted	4	44	8	35.74	0.7	-2.11	0.02	0.9973	0.06313	2	1.0	1.0	1.0	0.9817	0.9287	failure
sub-0006_task-thermalactive_run-1_eeg	sub-0006	combined	4	44	6	8.41	0.7	-1.98	0.11	0.99749	0.06088	2	1.0	1.0	1.0	0.9817	0.9247	failure
sub-0003_task-thermalactive_run-1_eeg	sub-0003	notching_declared	0	133	47	34.12	-1.62	-31.03	0.0	0.99756	0.06968	3	1.0	1.0	1.0	0.9157	0.6618	failure
sub-0003_task-thermalactive_run-1_eeg	sub-0003	comb_subtracted	4	133	2	2.02	-1.62	-6.67	0.15	0.99847	0.05511	1	1.0	1.0	1.0	1.0	0.929	failure
sub-0003_task-thermalactive_run-1_eeg	sub-0003	combined	4	133	13	9.03	-1.62	-6.74	0.11	0.99836	0.05717	2	1.0	1.0	1.0	1.0	0.9049	failure
sub-0013_task-thermalactive_run-1_eeg	sub-0013	notching_declared	0	75	14	35.88	0.79	-10.52	0.19	0.9983	0.05825	3	1.0	1.0	1.0	0.9758	0.8058	failure
sub-0013_task-thermalactive_run-1_eeg	sub-0013	comb_subtracted	0	75	0	1.5	0.45	-3.44	0.33	0.99903	0.04401	1	1.0	1.0	1.0	0.9641	0.9813	failure
sub-0013_task-thermalactive_run-1_eeg	sub-0013	combined	0	75	14	36.07	0.45	-2.97	0.32	0.9988	0.04898	2	1.0	1.0	1.0	0.9641	0.935	failure
sub-0014_task-thermalactive_run-6_eeg	sub-0014	notching_declared	0	102	21	35.26	1.49	-29.03	0.13	0.99795	0.0497	2	1.0	1.0	1.0	0.9699	0.6391	failure
sub-0014_task-thermalactive_run-6_eeg	sub-0014	comb_subtracted	1	102	1	2.28	1.49	-5.3	0.44	0.99879	0.03822	1	1.0	1.0	1.0	1.0	0.9414	failure
sub-0014_task-thermalactive_run-6_eeg	sub-0014	combined	1	102	4	3.47	1.49	-5.3	0.44	0.99872	0.03932	1	1.0	1.0	1.0	1.0	0.9414	failure
sub-0013_task-thermalactive_run-3_eeg	sub-0013	notching_declared	0	92	8	20.13	0.18	-17.2	0.46	0.99911	0.04098	2	1.0	1.0	1.0	0.9699	0.8896	control
sub-0013_task-thermalactive_run-3_eeg	sub-0013	comb_subtracted	0	92	4	3.87	-0.74	-4.08	0.07	0.99867	0.05004	1	1.0	1.0	1.0	0.8641	0.9835	control
sub-0013_task-thermalactive_run-3_eeg	sub-0013	combined	0	92	0	1.55	0.18	-3.26	0.17	0.99935	0.035	1	1.0	1.0	1.0	1.0	0.9835	control
sub-0015_task-thermalactive_run-1_eeg	sub-0015	notching_declared	0	135	25	25.96	1.41	-27.67	-0.04	0.99934	0.03556	3	1.0	1.0	1.0	0.9275	0.6791	control
sub-0015_task-thermalactive_run-1_eeg	sub-0015	comb_subtracted	8	135	4	3.01	-2.41	-7.19	-0.07	0.99945	0.0325	1	1.0	1.0	1.0	0.9817	0.9452	control
sub-0015_task-thermalactive_run-1_eeg	sub-0015	combined	8	135	5	3.75	-2.41	-6.64	-0.1	0.99945	0.03253	2	1.0	1.0	1.0	0.9817	0.9192	control
